row_id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
129971,Portugal,A full-bodied Syrah from Douro with ripe blackberry notes and a lingering finish.,Single Vineyard,92,28,Douro,,Clasico,Alex Garcia,@alexgarcia,Silver Creek Estate Single Vineyard Syrah,Syrah,Silver Creek Estate
129972,Italy,"From Douro Superior, this Pinot Noir offers ripe mineral flavors with a smooth, light-bodied structure.",Winemaker's Blend,88,49,Tuscany,Douro Superior,Estate,Jamie Brown,@jamiebrown,Vista Hills Winery Winemaker's Blend Pinot Noir,Pinot Noir,Vista Hills Winery
129973,Chile,"From Sonoma, this Sauvignon Blanc offers bright stone fruit flavors with a clean, full-bodied structure.",,90,35,Maipo Valley,Sonoma,Reserva,Alex Brown,@alexbrown,Golden Oak Cellars Sauvignon Blanc,Sauvignon Blanc,Golden Oak Cellars
129974,Chile,This Tempranillo shows bright aromas of blackberry and a light-bodied palate from Napa Valley.,,91,51,Maipo Valley,Napa Valley,,Riley Wilson,@rileywilson,Sunset Ridge Winery Tempranillo,Tempranillo,Sunset Ridge Winery
129975,Chile,"From Napa Valley, this Syrah offers bright floral flavors with a lingering, full-bodied structure.",,85,96,Maipo Valley,Napa Valley,Estate,Jordan Wilson,@jordanwilson,Riverbend Wines Syrah,Syrah,Riverbend Wines
129976,France,A light-bodied Pinot Noir from Cotes du Rhone with bright citrus notes and a crisp finish.,,84,74,Burgundy,Cotes du Rhone,Reserva,Sam Johnson,@samjohnson,Vista Hills Winery Pinot Noir,Pinot Noir,Vista Hills Winery
129977,Australia,A medium-bodied Malbec from Barossa Valley with robust vanilla notes and a long finish.,Gran Selección,87,77,Barossa Valley,,Reserva,Drew Brown,@drewbrown,Redstone Winery Gran Selección Malbec,Malbec,Redstone Winery
129978,France,A medium-bodied Zinfandel from Chianti with concentrated mineral notes and a long finish.,Single Vineyard,91,99,Bordeaux,Chianti,,Sam Brown,@sambrown,Silver Creek Estate Single Vineyard Zinfandel,Zinfandel,Silver Creek Estate
129979,France,A full-bodied Riesling from Priorat with subtle oak notes and a smooth finish.,Winemaker's Blend,91,47,Burgundy,Priorat,Estate,Casey Lewis,@caseylewis,Rockstar Vineyards Winemaker's Blend Riesling,Riesling,Rockstar Vineyards
129980,France,A full-bodied Chardonnay from Willamette Valley with concentrated mineral notes and a clean finish.,Reserve,97,78,Burgundy,Willamette Valley,Clasico,Sam Clark,@samclark,Vista Hills Winery Reserve Chardonnay,Chardonnay,Vista Hills Winery
129981,Italy,This Tempranillo shows bright aromas of oak and a full-bodied palate from Douro Superior.,Barrel Select,97,49,Tuscany,Douro Superior,,Jamie Smith,@jamiesmith,Redstone Winery Barrel Select Tempranillo,Tempranillo,Redstone Winery
129982,Portugal,A light-bodied Malbec from Priorat with subtle oak notes and a crisp finish.,,94,36,Douro,Priorat,Estate,Sam Smith,@samsmith,Redstone Winery Malbec,Malbec,Redstone Winery
129983,France,This Cabernet Sauvignon shows robust aromas of spice and a medium-bodied palate from Cotes du Rhone.,Reserve,92,53,Burgundy,Cotes du Rhone,Gran Reserva,Jordan Clark,@jordanclark,Clements Cellars Reserve Cabernet Sauvignon,Cabernet Sauvignon,Clements Cellars
129984,Spain,A medium-bodied Syrah from Medoc with bright mineral notes and a crisp finish.,Winemaker's Blend,98,66,Rioja,Medoc,Reserva,Casey Clark,@caseyclark,Oak & Ivy Winemaker's Blend Syrah,Syrah,Oak & Ivy
129985,France,This Chardonnay shows subtle aromas of mineral and a medium-bodied palate from Bordeaux.,Reserve,85,106,Bordeaux,,Clasico,Chris Davis,@chrisdavis,Riverbend Wines Reserve Chardonnay,Chardonnay,Riverbend Wines
129986,Spain,"From Napa Valley, this Pinot Noir offers concentrated citrus flavors with a smooth, light-bodied structure.",Gran Selección,91,16,Rioja,Napa Valley,Clasico,Sam Davis,@samdavis,Sunset Ridge Winery Gran Selección Pinot Noir,Pinot Noir,Sunset Ridge Winery
129987,New Zealand,This Riesling shows bright aromas of citrus and a full-bodied palate from Douro Superior.,Winemaker's Blend,84,45,Marlborough,Douro Superior,Gran Reserva,Riley Brown,@rileybrown,Riverbend Wines Winemaker's Blend Riesling,Riesling,Riverbend Wines
129988,Australia,"From Barossa Valley, this Pinot Noir offers subtle floral flavors with a lingering, light-bodied structure.",,91,47,Barossa Valley,,,Casey Smith,@caseysmith,Riverbend Wines Pinot Noir,Pinot Noir,Riverbend Wines
129989,New Zealand,This Malbec shows elegant aromas of stone fruit and a medium-bodied palate from Medoc.,Barrel Select,90,43,Marlborough,Medoc,Estate,Sam Smith,@samsmith,Highland Estate Barrel Select Malbec,Malbec,Highland Estate
129990,Italy,"From Medoc, this Malbec offers ripe oak flavors with a clean, medium-bodied structure.",Estate Bottled,95,59,Tuscany,Medoc,,Jamie Clark,@jamieclark,Highland Estate Estate Bottled Malbec,Malbec,Highland Estate
129991,Chile,This Syrah shows concentrated aromas of blackberry and a medium-bodied palate from Priorat.,Gran Selección,89,72,Maipo Valley,Priorat,,Drew Johnson,@drewjohnson,Riverbend Wines Gran Selección Syrah,Syrah,Riverbend Wines
129992,Australia,A full-bodied Chardonnay from Barossa Valley with subtle blackberry notes and a long finish.,Winemaker's Blend,84,82,Barossa Valley,,Estate,Sam Martin,@sammartin,Clements Cellars Winemaker's Blend Chardonnay,Chardonnay,Clements Cellars
129993,France,This Tempranillo shows subtle aromas of spice and a light-bodied palate from Douro Superior.,Reserve,86,101,Burgundy,Douro Superior,Gran Reserva,Taylor Clark,@taylorclark,Clements Cellars Reserve Tempranillo,Tempranillo,Clements Cellars
129994,USA,"From Priorat, this Zinfandel offers subtle cherry flavors with a long, light-bodied structure.",Estate Bottled,84,51,California,Priorat,Reserva,Casey Smith,@caseysmith,Silver Creek Estate Estate Bottled Zinfandel,Zinfandel,Silver Creek Estate
129995,USA,"From Cotes du Rhone, this Sangiovese offers ripe mineral flavors with a smooth, full-bodied structure.",Barrel Select,89,62,California,Cotes du Rhone,Clasico,Casey Martin,@caseymartin,Sunset Ridge Winery Barrel Select Sangiovese,Sangiovese,Sunset Ridge Winery
129996,Spain,"From Cotes du Rhone, this Riesling offers subtle citrus flavors with a smooth, light-bodied structure.",Winemaker's Blend,84,74,Rioja,Cotes du Rhone,Clasico,Casey Davis,@caseydavis,Silver Creek Estate Winemaker's Blend Riesling,Riesling,Silver Creek Estate
129997,Chile,"From Sonoma, this Tempranillo offers ripe mineral flavors with a long, full-bodied structure.",,95,51,Maipo Valley,Sonoma,,Sam Davis,@samdavis,Rockstar Vineyards Tempranillo,Tempranillo,Rockstar Vineyards
129998,Australia,"From Cotes du Rhone, this Pinot Noir offers bright floral flavors with a lingering, medium-bodied structure.",Old Vine,88,17,Barossa Valley,Cotes du Rhone,Estate,Jamie Garcia,@jamiegarcia,Redstone Winery Old Vine Pinot Noir,Pinot Noir,Redstone Winery
129999,Portugal,This Sauvignon Blanc shows robust aromas of vanilla and a medium-bodied palate from Uco Valley.,Old Vine,88,84,Douro,Uco Valley,,Taylor Clark,@taylorclark,Redstone Winery Old Vine Sauvignon Blanc,Sauvignon Blanc,Redstone Winery
